uri_inchikey,iupacName,prefLabel,prefLabel_en,altLabel,notation,definition,exactMatch,casNumber,ecNumber,pubchem,inScheme,source,validatie_status
AAADGWUCZIMSKQ-UHFFFAOYSA-M,,,,,,,,16509-22-1,240-574-1,compound:CID44153294,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
AADFAKZJDLLLCK-UHFFFAOYSA-K,azane;hydrogen sulfate;neodymium(3+);sulfate|azanium;neodymium(3+);disulfate,,Ammonium neodymium(3+) disulphate|Azane;hydrogen sulfate;neodymium(3+);sulfate,,,,,21995-34-6,244-704-8,compound:CID170844043|compound:CID56843856,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
AAECWZSULYTBQR-UHFFFAOYSA-N,acetic acid;4-(4-aminophenyl)aniline,,Benzidine acetate,,,,,36341-27-2,252-984-8,compound:CID118952,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
AAEVYOVXGOFMJO-UHFFFAOYSA-N,"6-methylsulfanyl-N,N'-di(propan-2-yl)-1,3,5-triazine-2,4-diamine",prometryn,,prometryne,promtne,,wise:CAS_7287-19-6,7287-19-6,230-711-3,compound:CID4929,conceptscheme:chemische_stof,,status:done08.2025
AAOVKJBEBIDNHE-UHFFFAOYSA-N,"7-chloro-1-methyl-5-phenyl-3H-1,4-benzodiazepin-2-one",diazepam,,valium,valum,,,11100-37-1|439-14-5|53320-84-6,,compound:CID3016,conceptscheme:chemische_stof,,status:todo
AAPVQEMYVNZIOO-UHFFFAOYSA-N,"1,9,10,11,12,12-hexachloro-4,6-dioxa-5lambda6-thiatricyclo[7.2.1.02,8]dodec-10-ene 5,5-dioxide",endosulfansulfaat,,,endsfSO4,,wise:CAS_1031-07-8,1031-07-8|87695-43-0|6749-25-3,,compound:CID13940,conceptscheme:chemische_stof,,status:todo
ABBKOIZWGCVCKE-UHFFFAOYSA-N,(4-propan-2-ylphenyl)urea,1-(4-isopropylfenyl)ureum,,,14iC3yFyurum,,,56046-17-4,,compound:CID185831,conceptscheme:chemische_stof,,status:todo
ABOOPXYCKNFDNJ-UHFFFAOYSA-N,2-[4-(6-chloroquinoxalin-2-yl)oxyphenoxy]propanoic acid,quizalofop,,,quizlfp,,,76578-12-6|95977-28-9,,compound:CID178795,conceptscheme:chemische_stof,,status:todo
ABOVRDBEJDIBMZ-UHFFFAOYSA-N,"1,3-bis[4-chloro-3-(trifluoromethyl)phenyl]urea",flucofuron,,,flucfrn,,,370-50-3,,compound:CID67788,conceptscheme:chemische_stof,,status:todo
ABPJIMXUCFBSRQ-UHFFFAOYSA-H,arsenic(5+);diphenyliodanium;hexafluoride,,"Iodonium, diphenyl-, hexafluoroarsenate(1-) (1:1)",,,,,62613-15-4,263-638-0,compound:CID92364,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
ABXFOTMKHPEYQJ-UHFFFAOYSA-N,"diazanium;(4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,17-nonacosafluoro-2-hydroxyheptadecyl) phosphate",,"Diammonium 4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,17-nonacosafluoro-2-hydroxyheptadecyl phosphate",,,,,94200-48-3,303-526-1,compound:CID44153654,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
ABXXWVKOBZHNNF-UHFFFAOYSA-N,chromium(3+);dioxido(dioxo)chromium,,Chromic chromate,,,,,24613-89-6,246-356-2,compound:CID32520,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
ACAHRYLWSNWTFN-UHFFFAOYSA-N,"2,3,4,4,5,5,5-heptafluoro-3-(1,1,2,2,2-pentafluoroethyl)-2-(trifluoromethyl)pentanoic acid",,"2,3,4,4,5,5,5-Heptafluoro-3-(pentafluoroethyl)-2-(trifluoromethyl)pentanoic acid",,,,,1882109-66-1,,compound:CID138396454,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
ACAQBDAOZYQPKR-UHFFFAOYSA-L,cadmium(2+);3-pentadecyloxirane-2-carboxylate,,Cadmium epoxyoctadecanoate,,,,,26264-48-2,247-560-4,compound:CID57376412,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
ACEKLXZRZOWKRY-UHFFFAOYSA-N,"1,1,2,2,3,3,4,4,5,5,5-undecafluoropentane-1-sulfonic acid",perfluorpentaansulfonzuur (pfpes),,perfluor-1-pentaansulfonzuur|perfluor-n-pentaansulfonzuur|perfluor-n-pentaansulfonzuur (pfpes),PFC5asfzr|PFPeS,,,2706-91-4,,compound:CID75922,conceptscheme:chemische_stof,,status:todo
ACGUYXCXAPNIKK-UHFFFAOYSA-N,"3,4,6-trichloro-2-[(2,3,5-trichloro-6-hydroxyphenyl)methyl]phenol",hexachloorfeen,,,HxClfn,,,139411-96-4|8054-98-6|70-30-4,,compound:CID3598,conceptscheme:chemische_stof,,status:todo
ACKFDYCQCBEDNU-UHFFFAOYSA-J,triacetyloxyplumbyl acetate,,Tris(acetyloxy)plumbyl acetate,,,,,546-67-8,208-908-0,compound:CID16684437,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
ACNRWWUEFJNUDD-UHFFFAOYSA-N,lead(2+);distiborate,,Lead antimonate(V),,,,,13510-89-9,236-845-9,compound:CID61636,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
ACPUVNIGVWZMRX-UHFFFAOYSA-N,,,,,,,,60646-36-8,,compound:CID138395105,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
ACTOXUHEUCPTEW-JMRHEKERSA-N,"['2-[(4R,5S,6S,7R,9R,10R,16R)-6-[5-(4,5-dihydroxy-4,6-dimethyloxan-2-yl)oxy-4-dimethylamino-3-hydroxy-6-methyloxan-2-yl]oxy-10-(5-dimethylamino-6-methyloxan-2-yl)oxy-4-hydroxy-5-methoxy-9,16-dimethyl-2-oxo-1-oxacyclohexadeca-11,13-dien-7-yl]acetaldehyde', '2-[(4R,5S,6S,7R,9R,10R,11E,13E,16R)-6-[5-(4,5-dihydroxy-4,6-dimethyloxan-2-yl)oxy-4-dimethylamino-3-hydroxy-6-methyloxan-2-yl]oxy-10-(5-dimethylamino-6-methyloxan-2-yl)oxy-4-hydroxy-5-methoxy-9,16-dimethyl-2-oxo-1-oxacyclohexadeca-11,13-dien-7-yl]acetaldehyde']",spiramycine (I+II+III),,spiramycine (i+ii+iii),spirmcne,,,8025-81-8,,compound:CID6419898,conceptscheme:chemische_stof,,status:todo
ACTOXUHEUCPTEW-KWBWCIJSSA-N,"2-[(4R,5S,6S,7R,9R,10R,11E,13E,16R)-6-[(2S,3R,4R,5S,6R)-5-[(2S,4R,5S,6S)-4,5-dihydroxy-4,6-dimethyloxan-2-yl]oxy-4-dimethylamino-3-hydroxy-6-methyloxan-2-yl]oxy-10-[(2R,5S,6S)-5-dimethylamino-6-methyloxan-2-yl]oxy-4-hydroxy-5-methoxy-9,16-dimethyl-2-oxo-1-oxacyclohexadeca-11,13-dien-7-yl]acetaldehyde",spiramycine i,,spiramycine I,spirmcI,,,24916-50-5|13441-34-4|2517-38-6|67262-35-5|1403-57-2|50762-61-3|13430-00-7|1405-25-0,,compound:CID6440717,conceptscheme:chemische_stof,,status:todo
ACTRVOBWPAIOHC-UHFFFAOYSA-N,"2,3-bis-sulfanylbutanedioic acid",succimer,,,succmr,,,304-55-2|2418-14-6,,compound:CID9354,conceptscheme:chemische_stof,,status:todo
ACUMJPUCLKGCOC-UHFFFAOYSA-L,bis(7-methyloctanoyloxy)lead,,Bis(7-methyloctanoyloxy)lead,,,,,27253-41-4|52847-85-5,248-376-7|258-222-0,compound:CID117961|compound:CID140563375,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
ACWBQPMHZXGDFX-QFIPXVFZSA-N,(2S)-3-methyl-2-[pentanoyl-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]amino]butanoic acid,valsartan,,,valstan,,,137862-53-4,,compound:CID60846,conceptscheme:chemische_stof,,status:todo
ACYYDFQOXMNIDS-UHFFFAOYSA-L,nickel;dinitrite,,Nickel;dinitrite,,,,,17861-62-0,,compound:CID153698686|compound:CID5463923,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
ADAKRBAJFHTIEW-UHFFFAOYSA-N,1-Chloro-4-isocyanatobenzene,p-chloorfenylisocyanaat,,,pClFyiCN,,,104-12-1,,compound:CID7693,conceptscheme:chemische_stof,,status:todo
ADFXKUOMJKEIND-UHFFFAOYSA-N,"1,3-Dicyclohexylurea","1,3-dicyclohexylureum",,,13DccC6yurum,,,2387-23-7,,compound:CID4277,conceptscheme:chemische_stof,,status:todo
ADGNAMGSVYAHHD-UHFFFAOYSA-N,nickel(2+);sulfide,,Nickel sulfide (Ni7S6),,,,,12503-53-6,,compound:CID166709,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
ADHAUWMNDHMUMH-UHFFFAOYSA-L,2-[bis(carboxylatomethyl)amino]acetate;hydron;nickel(2+)|2-[carboxylatomethyl(carboxymethyl)amino]acetate;nickel(2+),,2-[Bis(carboxylatomethyl)amino]acetate;hydron;nickel(2+)|Nickel nitrilotriacetate,,,,,34831-03-3,252-235-5,compound:CID36939|compound:CID73555743,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
ADHFORVSZXGTQQ-UHFFFAOYSA-J,"1,2-bis(4-methoxyphenyl)ethene-1,2-dithiolate;nickel",,CID 75584521,,,,,38951-97-2,254-212-5,compound:CID170140|compound:CID75584521,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
ADIMAYPTOBDMTL-UHFFFAOYSA-N,"7-chloro-3-hydroxy-5-phenyl-1,3-dihydro-1,4-benzodiazepin-2-one",oxazepam,,,oxzpm,,,61036-43-9|35295-88-6|604-75-1,,compound:CID4616,conceptscheme:chemische_stof,,status:todo
ADKVLNPBXBXIJO-UHFFFAOYSA-K,"chromium(3+);2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctanoate",,Chromium(3+) perfluorooctanoate,,,,,68141-02-6,268-824-5,compound:CID109631,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
ADPGKKZKGXANON-UHFFFAOYSA-N,disodium dioxido-oxosilane pentahydrate,natriumsilicaat,,,NaSiO2,,,1344-09-8|10213-79-3|12001-15-9,,compound:CID61495,conceptscheme:chemische_stof,,status:todo
AEHJMNVBLRLZKK-UHFFFAOYSA-N,"2-[3-[2,6-dichloro-4-(3,3-dichloroprop-2-enoxy)phenoxy]propoxy]-5-(trifluoromethyl)pyridine",pyridalyl,,,pyrdll,,,179101-81-6,,compound:CID11488729,conceptscheme:chemische_stof,,status:todo
AEKAZOFCTWJJCL-UHFFFAOYSA-M,"mercury(1+);2,3,4,5,6-pentahydroxyhexanoate",,Mercury gluconate,,,,,63937-14-4,,compound:CID45473,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
AEMFNILZOJDQLW-QAGGRKNESA-N,"(8R,9S,10R,13S,14S)-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthrene-3,17-dione",androsteendion,,,andtdn,,,117598-81-9|63-05-8|104534-78-3,,compound:CID6128,conceptscheme:chemische_stof,,status:todo
AERGGMDNGDDGPI-UHFFFAOYSA-N,(2-Phenylcyclobutyl)benzene,"trans-1,2-difenylcyclobutaan",,,t12DFyccC4a,,,20071-09-4,,compound:CID140640,conceptscheme:chemische_stof,,status:todo
AEXMKKGTQYQZCS-UHFFFAOYSA-N,"3,3-Dimethylpentane","3,3-dimethylpentaan",,,33DC1yC5a,,,562-49-2,,compound:CID11229,conceptscheme:chemische_stof,,status:todo
AFABGHUZZDYHJO-UHFFFAOYSA-N,2-Methylpentane,2-methylpentaan,,,2C1yC5a,,,107-83-5|73513-42-5,,compound:CID7892,conceptscheme:chemische_stof,,status:todo
AFBPFSWMIHJQDM-UHFFFAOYSA-N,N-Methylaniline,methylaniline,,,C1yAn,,,100-61-8,,compound:CID7515,conceptscheme:chemische_stof,,status:todo
AFCAKJKUYFLYFK-UHFFFAOYSA-N,Tetrabutylstannane,tetrabutyltin,,tetrabutyltin (tebt),T4C4ySn,,wise:CAS_1461-25-2,1461-25-2,,compound:CID15098,conceptscheme:chemische_stof,,status:todo
AFCCDDWKHLHPDF-UHFFFAOYSA-M,sodium methylaminomethanedithioate,metham-natrium,,,metNa,,,6734-80-1|137-42-8|144-54-7,,compound:CID8727,conceptscheme:chemische_stof,,status:todo
AFCVKFFKAKDREZ-UHFFFAOYSA-M,chloro-(2-methylphenyl)mercury,,Chloro(2-methylphenyl)mercury,,,,,2777-37-9,220-469-7,compound:CID101534094|compound:CID76016,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
AFDDMZHIXPLPGI-SYDNRQOSSA-L,"cadmium(2+);(9Z,12Z)-octadeca-9,12-dienoate;(9E,12E)-octadeca-9,12-dienoate",,Cadmium dilinoleate,,,,,67939-62-2,267-845-7,compound:CID6441728,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
AFDRCEOKCOUICI-UHFFFAOYSA-N,"2,2,3-trifluoro-3-[1,1,2,2,3,3-hexafluoro-3-(trifluoromethoxy)propoxy]propanoic acid","4,8-dioxa-3H-perfluornonaanzuur",,,ADONA,,,919005-14-4,700-835-7,compound:CID52915299,conceptscheme:chemische_stof,,status:todo
AFFLGGQVNFXPEV-UHFFFAOYSA-N,Dec-1-ene,1-deceen,,,1C10e,,,108778-38-7|105054-87-3|25189-70-2|872-05-9|68037-01-4,,compound:CID13381,conceptscheme:chemische_stof,,status:todo
AFIIBUOYKYSPKB-UHFFFAOYSA-N,"4-azido-6-methylsulfanyl-N-propan-2-yl-1,3,5-triazin-2-amine",aziprotryn,,,azptn,,,4658-28-0,,compound:CID3032472,conceptscheme:chemische_stof,,status:todo
AFOVBPMGZPJPKX-UHFFFAOYSA-N,2-(2-methylnaphthalen-1-yl)acetamide,methylnaftylaceetamide,,,C1yntacAd,,,85-07-4,,compound:CID66550,conceptscheme:chemische_stof,,status:todo
AFPIWWDEGJLLCL-UHFFFAOYSA-N,"1,3,2,4lambda2-dioxasilaplumbetane 2-oxide",,"1,3,2,4lambda2-Dioxasilaplumbetane 2-oxide",,,,,10099-76-0|11120-22-2|15906-71-5,233-246-4|234-363-3|240-047-6,compound:CID16686005|compound:CID61535,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
AFTSHZRGGNMLHC-UHFFFAOYSA-N,"1,1-Dichloro-1,2,2-trifluoroethane","1,1-dichloor-1,2,2-trifluorethaan",,,HCFK123b,,,812-04-4,,compound:CID13132,conceptscheme:chemische_stof,,status:todo
AFWOYEYXUDHGHF-UHFFFAOYSA-N,"Bis(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl) hydrogen phosphate",8:2 fluortelomeerfosfaat diester (8:2 dipap),,8:2 fluortelomeerfosfaat diester|bisperfluordecylwaterstoffosfaat (8:2 diPAP)|bisperfluordecylwaterstoffosfaat (8:2 dipap),bisPFC10yPO4|8:2 diPAP,,,678-41-1,,compound:CID3022253,conceptscheme:chemische_stof,,status:todo
AFYAQDWVUWAENU-UHFFFAOYSA-H,nickel(2+);diphosphate,,Nickel phosphate,,,,,10381-36-9|14396-43-1,|233-844-5,compound:CID165868,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
AFYPFACVUDMOHA-UHFFFAOYSA-N,chloro-trifluoromethane,chloortrifluormethaan,,,CFK13,,,75-72-9|185009-43-2,,compound:CID6392,conceptscheme:chemische_stof,,status:todo
AFZSMODLJJCVPP-UHFFFAOYSA-N,"2-(1,3-benzothiazol-2-yldisulfanyl)-1,3-benzothiazole","2,2-dibenzothiazyldisulfide",,,22DbztazDS,,,109767-80-8|120-78-5,,compound:CID8447,conceptscheme:chemische_stof,,status:todo
AFZZYIJIWUTJFO-UHFFFAOYSA-N,"1,3-Diethylbenzene","1,3-diethylbenzeen",,,13DC2yBen,,,141-93-5|68584-01-0,,compound:CID8864,conceptscheme:chemische_stof,,status:todo
AGIMOOYNBDLMJV-UHFFFAOYSA-N,"2,2,3,3-tetrafluoro-3-(trifluoromethoxy)propanoic acid",perfluor-3-methoxypropaanzuur,,,PFMOPrA,,,377-73-1,,compound:CID120228,conceptscheme:chemische_stof,,status:todo
AGJBKFAPBKOEGA-UHFFFAOYSA-M,2-methoxyethylmercury(1+);acetate|acetyloxy(2-methoxyethyl)mercury,,CID 13565752|Methoxyethylmercuric acetate,,,,,151-38-2,205-790-2,compound:CID101633774|compound:CID13565752|compound:CID16682936,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
AGKSTYPVMZODRV-UHFFFAOYSA-N,"1-[(4-chlorophenyl)methylsulfanyl]-N-(2,4-dichlorophenyl)-2-(1,2,4-triazol-1-yl)ethanimine",imibenconazool,,,imbcnzl,,,86598-92-7,,compound:CID93483,conceptscheme:chemische_stof,,status:todo
AGOYDEPGAOXOCK-KCBOHYOISA-N,"(3R,4S,5S,6R,7R,9R,11R,12R,13S,14R)-6-[(2S,3R,4S,6R)-4-dimethylamino-3-hydroxy-6-methyloxan-2-yl]oxy-14-ethyl-12,13-dihydroxy-4-[(2R,4R,5S,6S)-5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl]oxy-7-methoxy-3,5,7,9,11,13-hexamethyl-1-oxacyclotetradecane-2,10-dione",claritromycine,,,clartmcne,,wise:CAS_81103-11-9,116836-41-0|81103-11-9,,compound:CID84029,conceptscheme:chemische_stof,,status:todo
AGUIVNYEYSCPNI-UHFFFAOYSA-N,"N-methyl-N-(2,4,6-trinitrophenyl)nitramide",tetryl (ce),,tetryl (CE),tetl,,,479-45-8,,compound:CID10178,conceptscheme:chemische_stof,,status:todo
AGZCHLPJCXXPDM-UHFFFAOYSA-N,dibutoxylead,,Lead butoxide,,,,,65119-94-0,265-457-2,compound:CID16703363|compound:CID6455035,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
AHANXAKGNAKFSK-IUQGRGSQSA-N,"['(11E,14E,17E)-icosa-11,14,17-trienoic acid', 'icosa-11,14,17-trienoic acid']","cis-11,14,17-eicosatrieenzuur",,,c111417C20aT,,,2091-27-2,,compound:CID5282827,conceptscheme:chemische_stof,,status:todo
AHGSKSYDMRZICE-UHFFFAOYSA-N,"nickel;6-[[2-[(6-oxocyclohexa-2,4-dien-1-ylidene)methylamino]ethylamino]methylidene]cyclohexa-2,4-dien-1-one",,"Nickel;6-[[2-[(6-oxocyclohexa-2,4-dien-1-ylidene)methylamino]ethylamino]methylidene]cyclohexa-2,4-dien-1-one",,,,,14167-20-5,624-036-7,compound:CID6791662,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
AHJKRLASYNVKDZ-UHFFFAOYSA-N,"1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene","p,p’-ddd",,"4,4'-dichloordifenyldichloorethaan|pp'dichloordifenyldichloorethaan",44DDD,,wise:CAS_72-54-8,72-54-8,,compound:CID6294,conceptscheme:chemische_stof,,status:todo
AHMNEBQYNJRCMB-UHFFFAOYSA-L,4-tert-butylbenzoate;lead(2+),,Lead 4-tert-butylbenzoate,,,,,85292-77-9,286-637-7,compound:CID44153012,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
AHOUBRCZNHFOSL-YOEHRIQHSA-N,"(3S,4R)-3-(1,3-benzodioxol-5-yloxymethyl)-4-(4-fluorophenyl)piperidine",paroxetine,,,paroetne,,,110429-35-1|63952-24-9|61869-08-7,,compound:CID43815,conceptscheme:chemische_stof,,status:todo
AHTPATJNIAFOLR-UHFFFAOYSA-N,"methyl 3-[(4-methoxy-6-methyl-1,3,5-triazin-2-yl)carbamoylsulfamoyl]thiophene-2-carboxylate",thifensulfuron-methyl,,,thifsfrnC1y,,,79277-27-3,,compound:CID73674,conceptscheme:chemische_stof,,status:todo
AHUWMUAVZFJTOC-HNQUOIGGSA-N,(E)-3-bromo-1-chloroprop-1-ene,3-broom-1-chloorpropeen,,,3Br1ClC3e,,,3737-00-6,,compound:CID6433386,conceptscheme:chemische_stof,,status:todo
AHXGRMIPHCAXFP-UHFFFAOYSA-L,chromium(6+);oxygen(2-);dichloride,,Chromyl chloride,,,,,14977-61-8,239-056-8,compound:CID22150757,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
AIDFGYMTQWWVES-UHFFFAOYSA-K,azane;iridium(3+);trichloride;trihydrochloride|triazanium;hexachloroiridium(3-)|triazanium;iridium(3+);hexachloride|triazanium;trichloroiridium;trichloride,,"Ammoniumhexachloroiridate(iii)|Iridate(3-), hexachloro-, ammonium (1:3), (OC-6-11)-|Iridium(3+) chloride--ammonia--hydrogen chloride (1/3/3/3)|Triazanium;trichloroiridium;trichloride",,,,,15752-05-3,239-842-0,compound:CID11224929|compound:CID138398131|compound:CID13955979|compound:CID161145,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
AIGRXSNSLVJMEA-UHFFFAOYSA-N,ethoxy-(4-nitrophenoxy)-phenyl-sulfanylidenephosphorane,ethyl-p-nitrofenylthiobenzeenfosfonaat,,,EPN,,,65580-79-2|65580-80-5|2104-64-5,,compound:CID16421,conceptscheme:chemische_stof,,status:todo
AIKKULXCBHRFOS-UHFFFAOYSA-N,2-dimethoxyphosphinothioylsulfanyl-N-formyl-N-methylacetamide,formothion,,,formton,,,2540-82-1,,compound:CID17345,conceptscheme:chemische_stof,,status:todo
